Year,Region,Value
1911,Afrotropic,9.78298E-06
1912,Afrotropic,0
1913,Afrotropic,0
1914,Afrotropic,0
1915,Afrotropic,3.93496E-07
1916,Afrotropic,1.44022E-06
1917,Afrotropic,2.76072E-06
1918,Afrotropic,2.17278E-06
1919,Afrotropic,2.99779E-06
1920,Afrotropic,9.33815E-06
1921,Afrotropic,1.83523E-05
1922,Afrotropic,0
1923,Afrotropic,3.52878E-07
1924,Afrotropic,0
1925,Afrotropic,3.03826E-07
1926,Afrotropic,0
1927,Afrotropic,1.09935E-07
1928,Afrotropic,9.83428E-06
1929,Afrotropic,0
1930,Afrotropic,5.78517E-08
1931,Afrotropic,9.97892E-07
1932,Afrotropic,4.66504E-07
1933,Afrotropic,0
1934,Afrotropic,0
1935,Afrotropic,3.14151E-07
1936,Afrotropic,3.09648E-07
1937,Afrotropic,0
1938,Afrotropic,1.49803E-06
1939,Afrotropic,1.06122E-06
1940,Afrotropic,1.15755E-06
1941,Afrotropic,0
1942,Afrotropic,5.77427E-07
1943,Afrotropic,1.14474E-07
1944,Afrotropic,0
1945,Afrotropic,0
1946,Afrotropic,0
1947,Afrotropic,6.57077E-06
1948,Afrotropic,0
1949,Afrotropic,2.20149E-05
1950,Afrotropic,0
1951,Afrotropic,5.0778E-06
1952,Afrotropic,0
1953,Afrotropic,0
1954,Afrotropic,0
1955,Afrotropic,6.26617E-06
1956,Afrotropic,8.16996E-05
1957,Afrotropic,0.000156214
1958,Afrotropic,0.000457954
1959,Afrotropic,0.000535332
1960,Afrotropic,0.000616482
1961,Afrotropic,0.00070121
1962,Afrotropic,0.000789219
1963,Afrotropic,0.000879971
1964,Afrotropic,0.000973272
1965,Afrotropic,0.001089631
1966,Afrotropic,0.001006208
1967,Afrotropic,0.001246784
1968,Afrotropic,0.001262473
1969,Afrotropic,0.000850017
1970,Afrotropic,0.000812149
1971,Afrotropic,0.000926026
1972,Afrotropic,0.00132009
1973,Afrotropic,0.001385355
1974,Afrotropic,0.001831592
1975,Afrotropic,0.002003238
1976,Afrotropic,0.002499447
1977,Afrotropic,0.002431154
1978,Afrotropic,0.002099371
1979,Afrotropic,0.00235001
1980,Afrotropic,0.001893109
1981,Afrotropic,0.00206985
1982,Afrotropic,0.002740669
1983,Afrotropic,0.003049186
1984,Afrotropic,0.003888807
1985,Afrotropic,0.004708463
1986,Afrotropic,0.003545148
1987,Afrotropic,0.003349392
1988,Afrotropic,0.00368207
1989,Afrotropic,0.002053772
1990,Afrotropic,0.002513619
1991,Afrotropic,0.003325362
1992,Afrotropic,0.003580894
1993,Afrotropic,0.003216569
1994,Afrotropic,0.004154008
1995,Afrotropic,0.004705423
1996,Afrotropic,0.005147669
1997,Afrotropic,0.004547949
1998,Afrotropic,0.004983139
1999,Afrotropic,0.005330462
2000,Afrotropic,0.006078841
2001,Afrotropic,0.005086844
2002,Afrotropic,0.005943569
2003,Afrotropic,0.005440485
2004,Afrotropic,0.006558901
2005,Afrotropic,0.006282448
2006,Afrotropic,0.007518175
2007,Afrotropic,0.010299842
2008,Afrotropic,0.013024989
2009,Afrotropic,0.008721696
2010,Afrotropic,0.007543455
2011,Afrotropic,0.006916137
2012,Afrotropic,0.00931813
1854,Asian Palearctic,1.7837E-08
1855,Asian Palearctic,6.94077E-09
1856,Asian Palearctic,6.77398E-10
1857,Asian Palearctic,2.56769E-08
1858,Asian Palearctic,2.15925E-09
1859,Asian Palearctic,1.72454E-09
1860,Asian Palearctic,3.29211E-10
1861,Asian Palearctic,1.4738E-09
1862,Asian Palearctic,2.20567E-09
1863,Asian Palearctic,8.44931E-10
1864,Asian Palearctic,0
1865,Asian Palearctic,3.72852E-09
1866,Asian Palearctic,3.06247E-08
1867,Asian Palearctic,1.22215E-07
1868,Asian Palearctic,1.93785E-07
1869,Asian Palearctic,3.38767E-07
1870,Asian Palearctic,5.26279E-07
1871,Asian Palearctic,1.08495E-06
1872,Asian Palearctic,1.66072E-06
1873,Asian Palearctic,1.3389E-06
1874,Asian Palearctic,2.62042E-06
1875,Asian Palearctic,3.79137E-06
1876,Asian Palearctic,2.25921E-06
1877,Asian Palearctic,1.98752E-06
1878,Asian Palearctic,1.89572E-06
1879,Asian Palearctic,2.27824E-06
1880,Asian Palearctic,3.07795E-06
1881,Asian Palearctic,3.8912E-06
1882,Asian Palearctic,5.19986E-06
1883,Asian Palearctic,6.2291E-06
1884,Asian Palearctic,5.22067E-06
1885,Asian Palearctic,7.45331E-06
1886,Asian Palearctic,5.6966E-06
1887,Asian Palearctic,6.22803E-06
1888,Asian Palearctic,7.80561E-06
1889,Asian Palearctic,1.08387E-05
1890,Asian Palearctic,1.1182E-05
1891,Asian Palearctic,9.29058E-06
1892,Asian Palearctic,1.11367E-05
1893,Asian Palearctic,8.63148E-06
1894,Asian Palearctic,0.000203287
1895,Asian Palearctic,0.000329938
1896,Asian Palearctic,0.000603799
1897,Asian Palearctic,0.000889392
1898,Asian Palearctic,0.001186046
1899,Asian Palearctic,0.001296372
1900,Asian Palearctic,0.001650807
1901,Asian Palearctic,0.001924395
1902,Asian Palearctic,0.001266627
1903,Asian Palearctic,0.00103156
1904,Asian Palearctic,0.001093569
1905,Asian Palearctic,0.001988225
1906,Asian Palearctic,0.001811468
1907,Asian Palearctic,0.002964407
1908,Asian Palearctic,0.003852408
1909,Asian Palearctic,0.003378299
1910,Asian Palearctic,0.005654709
1911,Asian Palearctic,0.007474437
1912,Asian Palearctic,0.006631668
1913,Asian Palearctic,0.008335443
1914,Asian Palearctic,0.006999186
1915,Asian Palearctic,0.005383456
1916,Asian Palearctic,0.003698637
1917,Asian Palearctic,0.004764869
1918,Asian Palearctic,0.004040226
1919,Asian Palearctic,0.006133969
1920,Asian Palearctic,0.007825247
1921,Asian Palearctic,0.005732323
1922,Asian Palearctic,0.014613134
1923,Asian Palearctic,0.010664693
1924,Asian Palearctic,0.009757361
1925,Asian Palearctic,0.000180652
1926,Asian Palearctic,0.007658253
1927,Asian Palearctic,0.01009721
1928,Asian Palearctic,0.010509472
1929,Asian Palearctic,0.01444366
1930,Asian Palearctic,0.013797102
1931,Asian Palearctic,0.00841805
1932,Asian Palearctic,0.005558596
1933,Asian Palearctic,0.005925417
1934,Asian Palearctic,0.007481315
1935,Asian Palearctic,0.011110255
1936,Asian Palearctic,0.008850824
1937,Asian Palearctic,0.010551364
1938,Asian Palearctic,0.008690166
1939,Asian Palearctic,0.009165429
1940,Asian Palearctic,0.015662556
1941,Asian Palearctic,0.000935813
1942,Asian Palearctic,3.80821E-06
1943,Asian Palearctic,0
1944,Asian Palearctic,0
1945,Asian Palearctic,0
1946,Asian Palearctic,6.14057E-05
1947,Asian Palearctic,0.000485207
1948,Asian Palearctic,0
1949,Asian Palearctic,0.002432779
1950,Asian Palearctic,0.00200403
1951,Asian Palearctic,0.001937277
1952,Asian Palearctic,0.001693985
1953,Asian Palearctic,0.002165344
1954,Asian Palearctic,0.002898268
1955,Asian Palearctic,0.003266243
1956,Asian Palearctic,0.003639067
1957,Asian Palearctic,0.003217364
1958,Asian Palearctic,0.004213396
1959,Asian Palearctic,0.004355463
1960,Asian Palearctic,0.004495382
1961,Asian Palearctic,0.004633244
1962,Asian Palearctic,0.00476919
1963,Asian Palearctic,0.004903476
1964,Asian Palearctic,0.006864647
1965,Asian Palearctic,0.006932879
1966,Asian Palearctic,0.005760416
1967,Asian Palearctic,0.005424604
1968,Asian Palearctic,0.005135001
1969,Asian Palearctic,0.005596513
1970,Asian Palearctic,0.005285415
1971,Asian Palearctic,0.006134922
1972,Asian Palearctic,0.008615635
1973,Asian Palearctic,0.009448685
1974,Asian Palearctic,0.011016177
1975,Asian Palearctic,0.010236644
1976,Asian Palearctic,0.013674477
1977,Asian Palearctic,0.013057583
1978,Asian Palearctic,0.00682881
1979,Asian Palearctic,0.005247631
1980,Asian Palearctic,0.004353174
1981,Asian Palearctic,0.00403061
1982,Asian Palearctic,0.003383542
1983,Asian Palearctic,0.002610084
1984,Asian Palearctic,0.002983162
1985,Asian Palearctic,0.003573509
1986,Asian Palearctic,0.004773839
1987,Asian Palearctic,0.004516277
1988,Asian Palearctic,0.0040384
1989,Asian Palearctic,0.007446423
1990,Asian Palearctic,0.007487375
1991,Asian Palearctic,0.007241497
1992,Asian Palearctic,0.010518334
1993,Asian Palearctic,0.008074349
1994,Asian Palearctic,0.006388386
1995,Asian Palearctic,0.008357918
1996,Asian Palearctic,0.012308088
1997,Asian Palearctic,0.009422155
1998,Asian Palearctic,0.007346993
1999,Asian Palearctic,0.007678888
2000,Asian Palearctic,0.011281759
2001,Asian Palearctic,0.015534196
2002,Asian Palearctic,0.018767123
2003,Asian Palearctic,0.022426858
2004,Asian Palearctic,0.022178763
2005,Asian Palearctic,0.02486536
2006,Asian Palearctic,0.025132497
2007,Asian Palearctic,0.028778486
2008,Asian Palearctic,0.028216243
2009,Asian Palearctic,0.0226509
2010,Asian Palearctic,0.025309711
2011,Asian Palearctic,0.030278881
2012,Asian Palearctic,0.031114131
1854,Australasia,0
1855,Australasia,0
1856,Australasia,0
1857,Australasia,0
1858,Australasia,0
1859,Australasia,2.27303E-09
1860,Australasia,3.00729E-10
1861,Australasia,2.43559E-09
1862,Australasia,4.62712E-09
1863,Australasia,2.44619E-09
1864,Australasia,1.88144E-09
1865,Australasia,1.55771E-09
1866,Australasia,5.69377E-09
1867,Australasia,1.73605E-09
1868,Australasia,0
1869,Australasia,4.89888E-10
1870,Australasia,9.84799E-10
1871,Australasia,1.60675E-09
1872,Australasia,0
1873,Australasia,3.08412E-08
1874,Australasia,3.74728E-09
1875,Australasia,0
1876,Australasia,5.19141E-08
1877,Australasia,9.50728E-08
1878,Australasia,1.40265E-07
1879,Australasia,2.30127E-07
1880,Australasia,3.95768E-07
1881,Australasia,6.08924E-07
1882,Australasia,9.59961E-07
1883,Australasia,1.32641E-06
1884,Australasia,1.2611E-06
1885,Australasia,2.01778E-06
1886,Australasia,1.7141E-06
1887,Australasia,2.0735E-06
1888,Australasia,2.87536E-06
1889,Australasia,4.4475E-06
1890,Australasia,5.21482E-06
1891,Australasia,3.84476E-06
1892,Australasia,4.12317E-06
1893,Australasia,5.16585E-06
1894,Australasia,7.81239E-06
1895,Australasia,6.60895E-06
1896,Australasia,1.00628E-05
1897,Australasia,4.75208E-06
1898,Australasia,1.03935E-05
1899,Australasia,6.11444E-06
1900,Australasia,7.21005E-06
1901,Australasia,7.81846E-06
1902,Australasia,4.71862E-06
1903,Australasia,3.46017E-06
1904,Australasia,3.22493E-06
1905,Australasia,4.15903E-06
1906,Australasia,1.92968E-05
1907,Australasia,9.43459E-06
1908,Australasia,1.2908E-06
1909,Australasia,4.2899E-06
1910,Australasia,1.85052E-05
1911,Australasia,1.47243E-05
1912,Australasia,1.35351E-05
1913,Australasia,3.53719E-05
1914,Australasia,8.20354E-05
1915,Australasia,0.000140678
1916,Australasia,0.000187807
1917,Australasia,0.000180352
1918,Australasia,0.000133284
1919,Australasia,3.06869E-05
1920,Australasia,3.32125E-05
1921,Australasia,1.45906E-05
1922,Australasia,1.13864E-06
1923,Australasia,5.08144E-07
1924,Australasia,6.93276E-08
1925,Australasia,9.25289E-06
1926,Australasia,3.78664E-06
1927,Australasia,6.6163E-06
1928,Australasia,1.00281E-05
1929,Australasia,1.25809E-05
1930,Australasia,1.03398E-05
1931,Australasia,1.05591E-05
1932,Australasia,8.39707E-07
1933,Australasia,3.96546E-06
1934,Australasia,1.62284E-05
1935,Australasia,1.588E-05
1936,Australasia,4.20393E-06
1937,Australasia,9.32608E-06
1938,Australasia,1.03375E-05
1939,Australasia,1.35843E-05
1940,Australasia,9.81292E-06
1941,Australasia,7.31275E-06
1942,Australasia,4.85092E-06
1943,Australasia,6.46928E-06
1944,Australasia,0
1945,Australasia,1.0585E-05
1946,Australasia,0
1947,Australasia,6.25715E-06
1948,Australasia,0
1949,Australasia,2.01878E-05
1950,Australasia,0.00016052
1951,Australasia,0.000132031
1952,Australasia,0
1953,Australasia,6.27006E-06
1954,Australasia,0
1955,Australasia,1.41042E-05
1956,Australasia,2.9427E-05
1957,Australasia,1.16166E-05
1958,Australasia,1.00862E-05
1959,Australasia,1.23424E-05
1960,Australasia,1.44497E-05
1961,Australasia,1.64055E-05
1962,Australasia,1.82045E-05
1963,Australasia,1.98356E-05
1964,Australasia,1.88522E-05
1965,Australasia,1.75111E-05
1966,Australasia,1.29887E-05
1967,Australasia,0
1968,Australasia,7.09254E-06
1969,Australasia,6.12012E-05
1970,Australasia,9.66844E-05
1971,Australasia,0.000115753
1972,Australasia,9.92988E-05
1973,Australasia,0.000169635
1974,Australasia,0.000117137
1975,Australasia,4.31319E-05
1976,Australasia,0.00048759
1977,Australasia,0.000390647
1978,Australasia,0.000928718
1979,Australasia,0.002030873
1980,Australasia,0.004646427
1981,Australasia,0.002009564
1982,Australasia,0.000627257
1983,Australasia,0.000718754
1984,Australasia,0.001711456
1985,Australasia,0.005843416
1986,Australasia,0.004584471
1987,Australasia,0.003919869
1988,Australasia,0.003673735
1989,Australasia,0.004033479
1990,Australasia,0.006207645
1991,Australasia,0.006262917
1992,Australasia,0.00642961
1993,Australasia,0.006659396
1994,Australasia,0.005875282
1995,Australasia,0.006533268
1996,Australasia,0.004230662
1997,Australasia,0.004668785
1998,Australasia,0.004222749
1999,Australasia,0.005442361
2000,Australasia,0.007869077
2001,Australasia,0.008520705
2002,Australasia,0.00905916
2003,Australasia,0.014205564
2004,Australasia,0.020183807
2005,Australasia,0.024065799
2006,Australasia,0.022281821
2007,Australasia,0.026582283
2008,Australasia,0.024603898
2009,Australasia,0.012437103
2010,Australasia,0.013287433
2011,Australasia,0.010990845
2012,Australasia,0.017225379
1854,European Palearctic,0.002284667
1855,European Palearctic,0.002746479
1856,European Palearctic,0.004281791
1857,European Palearctic,0.004399829
1858,European Palearctic,0.004876133
1859,European Palearctic,0.004905077
1860,European Palearctic,0.004954748
1861,European Palearctic,0.00475772
1862,European Palearctic,0.005393981
1863,European Palearctic,0.001433291
1864,European Palearctic,0.000637459
1865,European Palearctic,0.000449578
1866,European Palearctic,0.001474217
1867,European Palearctic,0.001057994
1868,European Palearctic,0.000851244
1869,European Palearctic,0.001078878
1870,European Palearctic,0.001229263
1871,European Palearctic,0.001793793
1872,European Palearctic,0.002198805
1873,European Palearctic,0.001669517
1874,European Palearctic,0.003347032
1875,European Palearctic,0.004411236
1876,European Palearctic,0.002401344
1877,European Palearctic,0.001934802
1878,European Palearctic,0.001693892
1879,European Palearctic,0.001872144
1880,European Palearctic,0.002330136
1881,European Palearctic,0.002718036
1882,European Palearctic,0.003356134
1883,European Palearctic,0.003720008
1884,European Palearctic,0.002888794
1885,European Palearctic,0.003827063
1886,European Palearctic,0.002719198
1887,European Palearctic,0.00277029
1888,European Palearctic,0.003246987
1889,European Palearctic,0.004241823
1890,European Palearctic,0.004166461
1891,European Palearctic,0.00447244
1892,European Palearctic,0.003875424
1893,European Palearctic,0.003554634
1894,European Palearctic,0.010083927
1895,European Palearctic,0.01213618
1896,European Palearctic,0.019459668
1897,European Palearctic,0.015835543
1898,European Palearctic,0.019966914
1899,European Palearctic,0.020493397
1900,European Palearctic,0.026638916
1901,European Palearctic,0.032209503
1902,European Palearctic,0.021983424
1903,European Palearctic,0.018560568
1904,European Palearctic,0.020393181
1905,European Palearctic,0.035968488
1906,European Palearctic,0.041798013
1907,European Palearctic,0.044070691
1908,European Palearctic,0.044122031
1909,European Palearctic,0.047845893
1910,European Palearctic,0.065861463
1911,European Palearctic,0.052768001
1912,European Palearctic,0.068328328
1913,European Palearctic,0.081383844
1914,European Palearctic,0.092074979
1915,European Palearctic,0.090354895
1916,European Palearctic,0.115252372
1917,European Palearctic,0.107021041
1918,European Palearctic,0.081564874
1919,European Palearctic,0.06365448
1920,European Palearctic,0.060355069
1921,European Palearctic,0.054574562
1922,European Palearctic,0.07522029
1923,European Palearctic,0.083615782
1924,European Palearctic,0.091781876
1925,European Palearctic,0.000410883
1926,European Palearctic,0.073130009
1927,European Palearctic,0.079775685
1928,European Palearctic,0.093348394
1929,European Palearctic,0.090590465
1930,European Palearctic,0.074486439
1931,European Palearctic,0.047462134
1932,European Palearctic,0.031663358
1933,European Palearctic,0.032736169
1934,European Palearctic,0.042755053
1935,European Palearctic,0.046549255
1936,European Palearctic,0.049624092
1937,European Palearctic,0.050311738
1938,European Palearctic,0.049745371
1939,European Palearctic,0.044291893
1940,European Palearctic,0.009453411
1941,European Palearctic,0.01442924
1942,European Palearctic,0.010205898
1943,European Palearctic,0.006981494
1944,European Palearctic,0.005417416
1945,European Palearctic,0.050684645
1946,European Palearctic,0.099835412
1947,European Palearctic,0.096241525
1948,European Palearctic,0
1949,European Palearctic,0.086139937
1950,European Palearctic,0.090240478
1951,European Palearctic,0.103998862
1952,European Palearctic,0.115324303
1953,European Palearctic,0.124442652
1954,European Palearctic,0.107424554
1955,European Palearctic,0.132431652
1956,European Palearctic,0.10895969
1957,European Palearctic,0.116677919
1958,European Palearctic,0.112781048
1959,European Palearctic,0.108820476
1960,European Palearctic,0.104951035
1961,European Palearctic,0.101175841
1962,European Palearctic,0.097500399
1963,European Palearctic,0.093936165
1964,European Palearctic,0.091145358
1965,European Palearctic,0.104967594
1966,European Palearctic,0.099371579
1967,European Palearctic,0.096556494
1968,European Palearctic,0.097777802
1969,European Palearctic,0.097819976
1970,European Palearctic,0.097689936
1971,European Palearctic,0.083062089
1972,European Palearctic,0.106886439
1973,European Palearctic,0.11323155
1974,European Palearctic,0.117355029
1975,European Palearctic,0.115746923
1976,European Palearctic,0.118124112
1977,European Palearctic,0.124096909
1978,European Palearctic,0.132748172
1979,European Palearctic,0.140427614
1980,European Palearctic,0.142683751
1981,European Palearctic,0.122310652
1982,European Palearctic,0.112677148
1983,European Palearctic,0.11085006
1984,European Palearctic,0.132797062
1985,European Palearctic,0.142787661
1986,European Palearctic,0.166370919
1987,European Palearctic,0.171467259
1988,European Palearctic,0.184943282
1989,European Palearctic,0.198343095
1990,European Palearctic,0.21119172
1991,European Palearctic,0.216659583
1992,European Palearctic,0.2300416
1993,European Palearctic,0.236211014
1994,European Palearctic,0.252845325
1995,European Palearctic,0.291595618
1996,European Palearctic,0.293760599
1997,European Palearctic,0.283912279
1998,European Palearctic,0.292668994
1999,European Palearctic,0.310628757
2000,European Palearctic,0.296404269
2001,European Palearctic,0.283632473
2002,European Palearctic,0.267439195
2003,European Palearctic,0.284610292
2004,European Palearctic,0.310896532
2005,European Palearctic,0.329144884
2006,European Palearctic,0.304856369
2007,European Palearctic,0.302131827
2008,European Palearctic,0.273887708
2009,European Palearctic,0.212741428
2010,European Palearctic,0.210243042
2011,European Palearctic,0.220618799
2012,European Palearctic,0.246950449
1854,Indomalaya,2.58985E-05
1855,Indomalaya,6.35871E-05
1856,Indomalaya,4.15992E-05
1857,Indomalaya,3.58612E-05
1858,Indomalaya,0.000204346
1859,Indomalaya,0.003566028
1860,Indomalaya,0.002424572
1861,Indomalaya,0.002167215
1862,Indomalaya,0.002219173
1863,Indomalaya,0.000820924
1864,Indomalaya,0.000497002
1865,Indomalaya,0.000151493
1866,Indomalaya,0.000204887
1867,Indomalaya,0
1868,Indomalaya,4.09625E-10
1869,Indomalaya,1.02378E-09
1870,Indomalaya,1.50048E-09
1871,Indomalaya,2.18833E-09
1872,Indomalaya,0
1873,Indomalaya,0
1874,Indomalaya,0
1875,Indomalaya,4.85956E-08
1876,Indomalaya,6.07031E-08
1877,Indomalaya,8.31929E-08
1878,Indomalaya,1.09108E-07
1879,Indomalaya,1.68105E-07
1880,Indomalaya,2.78332E-07
1881,Indomalaya,4.17864E-07
1882,Indomalaya,6.47976E-07
1883,Indomalaya,8.85131E-07
1884,Indomalaya,8.346E-07
1885,Indomalaya,1.32676E-06
1886,Indomalaya,1.12054E-06
1887,Indomalaya,1.3469E-06
1888,Indomalaya,1.85199E-06
1889,Indomalaya,2.82707E-06
1890,Indomalaya,3.23827E-06
1891,Indomalaya,2.70062E-06
1892,Indomalaya,2.04281E-06
1893,Indomalaya,1.37654E-06
1894,Indomalaya,1.0785E-05
1895,Indomalaya,1.54986E-05
1896,Indomalaya,2.68431E-05
1897,Indomalaya,3.92853E-05
1898,Indomalaya,6.58358E-05
1899,Indomalaya,7.08168E-05
1900,Indomalaya,0.000101543
1901,Indomalaya,0.000134244
1902,Indomalaya,9.94386E-05
1903,Indomalaya,9.05415E-05
1904,Indomalaya,0.000106699
1905,Indomalaya,0.000135507
1906,Indomalaya,0.000346728
1907,Indomalaya,0.000193843
1908,Indomalaya,0.000120299
1909,Indomalaya,0.000132484
1910,Indomalaya,0.000150919
1911,Indomalaya,0.000144667
1912,Indomalaya,0.000140848
1913,Indomalaya,0.000110261
1914,Indomalaya,7.77222E-05
1915,Indomalaya,5.88025E-05
1916,Indomalaya,0.000119767
1917,Indomalaya,0.000165531
1918,Indomalaya,6.98838E-05
1919,Indomalaya,0.000235688
1920,Indomalaya,0.000279029
1921,Indomalaya,0.000275655
1922,Indomalaya,0.000433318
1923,Indomalaya,0.000515229
1924,Indomalaya,0.000296953
1925,Indomalaya,1.12001E-05
1926,Indomalaya,1.84725E-05
1927,Indomalaya,2.27748E-05
1928,Indomalaya,2.66509E-05
1929,Indomalaya,8.42206E-05
1930,Indomalaya,0.000860252
1931,Indomalaya,2.70002E-05
1932,Indomalaya,6.01739E-06
1933,Indomalaya,2.26394E-05
1934,Indomalaya,4.65447E-05
1935,Indomalaya,5.24582E-05
1936,Indomalaya,6.00955E-05
1937,Indomalaya,4.69624E-05
1938,Indomalaya,4.82173E-05
1939,Indomalaya,5.68596E-05
1940,Indomalaya,5.74542E-05
1941,Indomalaya,3.40474E-05
1942,Indomalaya,2.65792E-05
1943,Indomalaya,7.76806E-07
1944,Indomalaya,0
1945,Indomalaya,0
1946,Indomalaya,2.34211E-05
1947,Indomalaya,4.61154E-05
1948,Indomalaya,0
1949,Indomalaya,8.57982E-05
1950,Indomalaya,4.58893E-05
1951,Indomalaya,8.53159E-05
1952,Indomalaya,0
1953,Indomalaya,3.4885E-06
1954,Indomalaya,0
1955,Indomalaya,1.06378E-05
1956,Indomalaya,5.04968E-05
1957,Indomalaya,7.66075E-05
1958,Indomalaya,8.62261E-05
1959,Indomalaya,9.21015E-05
1960,Indomalaya,9.6218E-05
1961,Indomalaya,9.86587E-05
1962,Indomalaya,9.9504E-05
1963,Indomalaya,9.88317E-05
1964,Indomalaya,9.36691E-05
1965,Indomalaya,3.95638E-05
1966,Indomalaya,0.000338182
1967,Indomalaya,0.000189569
1968,Indomalaya,0.000588681
1969,Indomalaya,0.000115602
1970,Indomalaya,7.73475E-05
1971,Indomalaya,0.000164491
1972,Indomalaya,0.00026285
1973,Indomalaya,0.000265762
1974,Indomalaya,0.000319464
1975,Indomalaya,0.000833884
1976,Indomalaya,0.000768723
1977,Indomalaya,0.001201032
1978,Indomalaya,0.000803849
1979,Indomalaya,0.000489585
1980,Indomalaya,0.000478979
1981,Indomalaya,0.000376075
1982,Indomalaya,0.000322738
1983,Indomalaya,0.000370416
1984,Indomalaya,0.000484912
1985,Indomalaya,0.00063129
1986,Indomalaya,0.000865368
1987,Indomalaya,0.001030748
1988,Indomalaya,0.00148158
1989,Indomalaya,0.011700093
1990,Indomalaya,0.009093722
1991,Indomalaya,0.008622383
1992,Indomalaya,0.010833119
1993,Indomalaya,0.01348933
1994,Indomalaya,0.013411184
1995,Indomalaya,0.016129455
1996,Indomalaya,0.015461657
1997,Indomalaya,0.019835162
1998,Indomalaya,0.022909152
1999,Indomalaya,0.02368626
2000,Indomalaya,0.031956927
2001,Indomalaya,0.034511879
2002,Indomalaya,0.034726334
2003,Indomalaya,0.043180226
2004,Indomalaya,0.036963319
2005,Indomalaya,0.040674872
2006,Indomalaya,0.051887893
2007,Indomalaya,0.055979699
2008,Indomalaya,0.058368202
2009,Indomalaya,0.056539285
2010,Indomalaya,0.072976002
2011,Indomalaya,0.08223412
2012,Indomalaya,0.080348603
1854,Neotropic,9.81321E-07
1855,Neotropic,1.70736E-06
1856,Neotropic,2.87712E-06
1857,Neotropic,2.39833E-06
1858,Neotropic,4.0663E-06
1859,Neotropic,3.08782E-05
1860,Neotropic,2.30069E-05
1861,Neotropic,1.74494E-05
1862,Neotropic,1.40102E-05
1863,Neotropic,3.39594E-06
1864,Neotropic,5.1885E-06
1865,Neotropic,4.96713E-06
1866,Neotropic,2.02E-05
1867,Neotropic,1.76637E-06
1868,Neotropic,1.67219E-06
1869,Neotropic,2.53659E-06
1870,Neotropic,3.3426E-06
1871,Neotropic,5.40052E-06
1872,Neotropic,0
1873,Neotropic,0
1874,Neotropic,0
1875,Neotropic,4.85162E-06
1876,Neotropic,5.55307E-06
1877,Neotropic,7.04649E-06
1878,Neotropic,8.62773E-06
1879,Neotropic,1.24937E-05
1880,Neotropic,1.9551E-05
1881,Neotropic,2.78747E-05
1882,Neotropic,4.12225E-05
1883,Neotropic,5.39081E-05
1884,Neotropic,4.8842E-05
1885,Neotropic,7.48849E-05
1886,Neotropic,6.12466E-05
1887,Neotropic,7.16351E-05
1888,Neotropic,9.64508E-05
1889,Neotropic,0.000145532
1890,Neotropic,0.000167563
1891,Neotropic,0.000161743
1892,Neotropic,0.000160131
1893,Neotropic,0.00011581
1894,Neotropic,0.000303003
1895,Neotropic,0.000636995
1896,Neotropic,0.001250706
1897,Neotropic,0.001101982
1898,Neotropic,0.001506243
1899,Neotropic,0.00148971
1900,Neotropic,0.001707097
1901,Neotropic,0.001801963
1902,Neotropic,0.001062491
1903,Neotropic,0.000767075
1904,Neotropic,0.000715758
1905,Neotropic,0.001078396
1906,Neotropic,0.001874175
1907,Neotropic,0.001319266
1908,Neotropic,0.001837986
1909,Neotropic,0.002388012
